ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): TEXAS

School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,County Number [Public School] 2017-18,County Name [Public School] 2017-18,School Type [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,State School ID [Public School] 2017-18,State Agency ID [Public School] 2017-18,Virtual School Status (SY 2016-17 onward) [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Grades 1-8 Students [Public School] 2017-18,Grades 9-12 Students [Public School] 2017-18,Prekindergarten Students [Public School] 2017-18,Kindergarten Students [Public School] 2017-18,Grade 1 Students [Public School] 2017-18,Grade 2 Students [Public School] 2017-18,Grade 3 Students [Public School] 2017-18,Grade 4 Students [Public School] 2017-18,Grade 5 Students [Public School] 2017-18,Grade 6 Students [Public School] 2017-18,Grade 7 Students [Public School] 2017-18,Grade 8 Students [Public School] 2017-18,Grade 9 Students [Public School] 2017-18,Grade 10 Students [Public School] 2017-18,Grade 11 Students [Public School] 2017-18,Grade 12 Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18
MIDWAY ALTERNATIVE H S,Texas,481281012356,48381,Randall County,4-Alternative/other school,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,TX-191901-191901004,TX-191901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,63,25,3,28,†,63,†,†,†,†,†,†,†,†,†,†,3,2,23,35,28,35,="0",="0",12,2,49,="0",="0",63,6.00
MIDWAY H S,Texas,483064003463,48309,McLennan County,1-Regular school,†,2-No,6-Not a Title I school,TX-161903-161903001,TX-161903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,2449,480,152,632,†,2449,†,†,†,†,†,†,†,†,†,†,652,594,607,596,1220,1229,5,115,567,310,1404,4,44,2449,156.30
MIDWAY MIDDLE,Texas,483064003464,48309,McLennan County,1-Regular school,†,2-No,6-Not a Title I school,TX-161903-161903041,TX-161903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1189,276,89,365,1189,†,†,†,†,†,†,†,†,†,592,597,†,†,†,†,595,594,1,61,280,143,678,2,24,1189,71.74
MIDWAY PARK EL,Texas,482406002675,48439,Tarrant County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-220916-220916114,TX-220916,NOTVIRTUAL,Yes participating without using any Provision or the CEO,764,493,64,557,605,†,52,107,102,102,102,95,97,107,†,†,†,†,†,†,391,373,2,71,198,182,185,69,57,764,42.77
MIDWAY SCHOOL,Texas,483066003461,48077,Clay County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-039905-039905001,TX-039905,NOTVIRTUAL,Yes participating without using any Provision or the CEO,137,77,2,79,84,46,†,7,7,8,7,11,15,12,14,10,9,10,13,14,66,71,="0",="0",9,="0",128,="0",="0",137,16.31
MIGUEL CARRILLO JR EL,Texas,484068005989,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015908-015908112,TX-015908,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),471,429,="0",429,341,†,64,66,65,61,64,83,68,†,†,†,†,†,†,†,241,230,="0",="0",465,3,3,="0",="0",471,25.84
MIKE MOSELEY EL,Texas,482142011433,48113,Dallas County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-057910-057910130,TX-057910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,622,333,87,420,491,†,39,92,104,101,94,100,92,†,†,†,†,†,†,†,322,300,4,50,290,197,59,1,21,622,37.64
MIKE MOSES MIDDLE,Texas,483209010974,48347,Nacogdoches County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-174904-174904042,TX-174904,NOTVIRTUAL,Yes participating without using any Provision or the CEO,652,462,41,503,652,†,†,†,†,†,†,†,†,213,224,215,†,†,†,†,367,285,1,20,304,161,150,="0",16,652,46.05
MILAM EL,Texas,483057003448,48329,Midland County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-165901-165901113,TX-165901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,450,307,40,347,396,†,2,52,59,72,61,57,69,78,†,†,†,†,†,†,253,197,1,7,304,103,30,="0",5,450,29.66
MILAM EL,Texas,484578005219,48485,Wichita County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-243905-243905121,TX-243905,NOTVIRTUAL,Yes participating without using any Provision or the CEO,504,319,35,354,384,†,38,82,79,83,69,67,86,†,†,†,†,†,†,†,261,243,="0",7,141,63,266,="0",27,504,34.89
MILAM EL,Texas,481830001704,48141,El Paso County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-071902-071902131,TX-071902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,789,261,156,417,578,†,86,125,121,125,112,110,110,†,†,†,†,†,†,†,361,428,7,24,238,119,289,24,88,789,48.08
MILAM EL,Texas,482967003340,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108906-108906111,TX-108906,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),923,560,="0",560,745,†,62,116,145,158,154,146,142,†,†,†,†,†,†,†,493,430,1,6,802,5,104,="0",5,923,53.38
MILAM EL,Texas,481500001008,48339,Montgomery County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-170902-170902105,TX-170902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,784,526,72,598,588,†,84,112,134,150,146,158,†,†,†,†,†,†,†,†,395,389,2,4,470,6,296,="0",6,784,50.72
MILANO EL,Texas,483069005556,48331,Milam County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-166903-166903102,TX-166903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,175,79,30,109,131,†,21,23,22,22,21,30,36,†,†,†,†,†,†,†,81,94,1,1,53,6,112,="0",2,175,16.09
MILANO H S,Texas,483069003467,48331,Milam County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-166903-166903001,TX-166903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,174,74,21,95,†,174,†,†,†,†,†,†,†,†,†,†,53,43,38,40,99,75,="0",1,40,14,114,2,3,174,19.19
MILANO J H,Texas,483069009351,48331,Milam County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-166903-166903041,TX-166903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,104,48,11,59,104,†,†,†,†,†,†,†,†,32,34,38,†,†,†,†,48,56,="0",1,27,2,70,="0",4,104,7.52
MILBY H S,Texas,482364002536,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101912-101912011,TX-101912,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),1703,1341,122,1463,†,1703,†,†,†,†,†,†,†,†,†,†,736,385,331,251,871,832,3,9,1591,90,9,="0",1,1703,99.46
MILDRED EL,Texas,483072003468,48349,Navarro County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-175910-175910101,TX-175910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,312,116,20,136,263,†,†,49,54,47,53,52,57,†,†,†,†,†,†,†,168,144,1,4,50,3,244,2,8,312,20.93
MILDRED H S,Texas,483072003469,48349,Navarro County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-175910-175910001,TX-175910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,428,129,25,154,181,247,†,†,†,†,†,†,†,61,58,62,54,72,62,59,221,207,1,1,67,9,331,4,15,428,36.84
MILDRED JENKINS EL,Texas,484122004715,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101919-101919107,TX-101919,NOTVIRTUAL,Yes participating without using any Provision or the CEO,681,483,60,543,542,†,54,85,79,112,120,107,124,†,†,†,†,†,†,†,343,338,20,3,322,227,99,1,9,681,44.50
MILES EL,Texas,483075006887,48399,Runnels County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-200902-200902101,TX-200902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,253,80,24,104,208,†,14,31,29,34,37,34,40,34,†,†,†,†,†,†,125,128,="0",="0",101,="0",151,="0",1,253,20.25
MILES H S,Texas,483075003471,48399,Runnels County,1-Regular school,†,2-No,6-Not a Title I school,TX-200902-200902001,TX-200902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,192,37,15,52,59,133,†,†,†,†,†,†,†,†,30,29,32,39,31,31,105,87,="0",1,74,1,116,="0",="0",192,21.60
MILFORD SCHOOL,Texas,483078003473,48139,Ellis County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-070909-070909001,TX-070909,NOTVIRTUAL,Yes participating without using any Provision or the CEO,273,177,19,196,174,74,10,15,17,19,21,25,25,25,23,19,24,23,10,17,150,123,="0",="0",85,57,107,="0",24,273,23.40
MILLER EL,Texas,480870005644,48439,Tarrant County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-220901-220901135,TX-220901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,634,312,49,361,520,†,38,76,73,68,102,85,97,95,†,†,†,†,†,†,323,311,3,40,189,164,213,2,23,634,43.22
MILLER EL,Texas,483510006956,48085,Collin County,1-Regular school,†,2-No,6-Not a Title I school,TX-043910-043910131,TX-043910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,400,41,8,49,337,†,†,63,57,61,82,74,63,†,†,†,†,†,†,†,199,201,1,112,47,27,193,="0",20,400,30.57
MILLER EL,Texas,482850012803,48303,Lubbock County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-152901-152901195,TX-152901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,712,180,43,223,570,†,45,97,123,122,108,97,120,†,†,†,†,†,†,†,371,341,2,5,279,20,389,="0",17,712,40.21
MILLER EL,TEXAS,482001013307,48121,Denton County,1-Regular school,†,2-No,6-Not a Title I school,TX-043905-043905141,TX-043905,NOTVIRTUAL,Yes participating without using any Provision or the CEO,631,62,24,86,532,†,†,99,126,95,107,96,108,†,†,†,†,†,†,†,311,320,6,175,77,137,211,1,24,631,38.39
MILLER GROVE SCHOOL,Texas,483081003475,48223,Hopkins County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-112907-112907001,TX-112907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,329,161,26,187,190,87,29,23,30,23,25,20,27,23,19,23,25,19,24,19,155,174,="0",1,67,1,251,3,6,329,26.80
MILLER HEIGHTS EL,Texas,480986000458,48027,Bell County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-014903-014903103,TX-014903,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),327,279,2,281,262,†,†,65,58,57,57,38,52,†,†,†,†,†,†,†,154,173,3,5,147,42,108,3,19,327,24.10
MILLER INT,Texas,483432003836,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101917-101917048,TX-101917,NOTVIRTUAL,Yes participating without using any Provision or the CEO,785,616,43,659,785,†,†,†,†,†,†,†,†,†,378,407,†,†,†,†,401,384,1,3,698,48,29,="0",6,785,61.60
MILLER INT,Texas,480783008806,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101903-101903144,TX-101903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,942,639,78,717,942,†,†,†,†,†,†,†,472,470,†,†,†,†,†,†,493,449,8,101,393,386,45,1,8,942,67.44
MILLER JORDAN MIDDLE,Texas,483879021156,48061,Cameron County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-031912-031912042,TX-031912,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),825,701,="0",701,825,†,†,†,†,†,†,†,†,276,283,266,†,†,†,†,461,364,="0",="0",818,2,4,1,="0",825,58.81
MILLER MIDDLE,TEXAS,483897017035,48209,Hays County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-105902-105902043,TX-105902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,782,430,64,494,782,†,†,†,†,†,†,†,†,290,246,246,†,†,†,†,405,377,1,2,462,50,256,2,9,782,55.69
MILLER POINT EL,Texas,482499006429,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015916-015916111,TX-015916,NOTVIRTUAL,Yes participating without using any Provision or the CEO,572,308,102,410,454,†,32,86,90,91,99,86,88,†,†,†,†,†,†,†,300,272,4,3,333,73,119,4,36,572,39.00
MILLS EL,Texas,480894008062,48453,Travis County,1-Regular school,†,2-No,6-Not a Title I school,TX-227901-227901181,TX-227901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,854,45,5,50,642,†,69,143,135,122,123,147,115,†,†,†,†,†,†,†,461,393,2,90,203,9,477,="0",73,854,54.35
MILLSAP EL,Texas,481611001190,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101907-101907110,TX-101907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,823,378,49,427,653,†,65,105,148,117,122,115,151,†,†,†,†,†,†,†,407,416,12,29,344,106,322,="0",10,823,53.17
MILLSAP EL,Texas,483087003476,48367,Parker County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-184904-184904101,TX-184904,NOTVIRTUAL,Yes participating without using any Provision or the CEO,491,151,40,191,390,†,36,65,68,78,70,89,85,†,†,†,†,†,†,†,268,223,3,3,78,2,393,2,10,491,31.21
MILLSAP H S,Texas,483087003477,48367,Parker County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-184904-184904001,TX-184904,NOTVIRTUAL,Yes participating without using any Provision or the CEO,300,77,28,105,†,300,†,†,†,†,†,†,†,†,†,†,75,75,77,73,149,151,1,1,38,2,252,="0",6,300,30.54
MILLSAP MIDDLE,Texas,483087009008,48367,Parker County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-184904-184904041,TX-184904,NOTVIRTUAL,Yes participating without using any Provision or the CEO,203,57,14,71,203,†,†,†,†,†,†,†,†,68,66,69,†,†,†,†,98,105,="0",="0",25,="0",176,="0",2,203,16.42
MILNE EL,Texas,482364021036,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101912-101912299,TX-101912,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),582,524,27,551,466,†,44,72,111,84,93,97,81,†,†,†,†,†,†,†,295,287,4,3,221,341,9,1,3,582,36.00
MILTON B LEE ACADEMY OF SCIENCE & ENGINEERING,Texas,480006212237,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015806-015806003,TX-015806,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),129,107,="0",107,†,129,†,†,†,†,†,†,†,†,†,†,38,26,35,30,71,58,="0",="0",73,47,5,1,3,129,9.59
MILTON COOPER EL,Texas,484122010789,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101919-101919120,TX-101919,NOTVIRTUAL,Yes participating without using any Provision or the CEO,791,610,91,701,599,†,93,99,105,113,114,134,133,†,†,†,†,†,†,†,389,402,4,19,486,242,25,2,13,791,52.98
MILTON EL,Texas,482679003024,48479,Webb County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-240901-240901110,TX-240901,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),881,832,="0",832,610,†,160,111,131,118,130,125,106,†,†,†,†,†,†,†,461,420,3,13,846,1,15,="0",3,881,47.11
MIMI FARLEY EL,Texas,481104000570,48359,Oldham County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-180901-180901101,TX-180901,NOTVIRTUAL,No,53,16,="0",16,44,†,†,9,5,8,7,9,15,†,†,†,†,†,†,†,23,30,="0",="0",5,4,41,="0",3,53,10.20
MIMS EL,Texas,483104006146,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108908-108908110,TX-108908,NOTVIRTUAL,Yes under Provision 2,629,331,="0",331,474,†,74,81,103,73,82,98,118,†,†,†,†,†,†,†,326,303,="0",3,615,1,10,="0",="0",629,38.58
MINA EL,Texas,480957000411,48021,Bastrop County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-011901-011901102,TX-011901,NOTVIRTUAL,Yes participating without using any Provision or the CEO,613,286,59,345,477,†,32,104,103,107,131,136,†,†,†,†,†,†,†,†,303,310,2,11,232,54,291,="0",23,613,42.28
MINEOLA EL,Texas,483093003479,48499,Wood County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-250903-250903102,TX-250903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,372,222,22,244,372,†,†,†,†,†,135,112,125,†,†,†,†,†,†,†,166,206,4,4,131,22,194,="0",17,372,23.51
MINEOLA H S,Texas,483093003480,48499,Wood County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-250903-250903001,TX-250903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,466,217,32,249,†,466,†,†,†,†,†,†,†,†,†,†,132,104,122,108,234,232,2,6,141,34,268,="0",15,466,39.90
MINEOLA MIDDLE,Texas,483093003481,48499,Wood County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-250903-250903041,TX-250903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,362,167,24,191,362,†,†,†,†,†,†,†,†,109,132,121,†,†,†,†,173,189,1,5,108,20,212,="0",16,362,28.70
MINEOLA PRI,Texas,483093003478,48499,Wood County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-250903-250903101,TX-250903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,414,253,31,284,231,†,77,106,115,116,†,†,†,†,†,†,†,†,†,†,210,204,1,7,149,19,213,="0",25,414,30.71
MINERAL WELLS ACADEMY,Texas,483095008348,48363,Palo Pinto County,4-Alternative/other school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-182903-182903002,TX-182903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,44,20,1,21,†,44,†,†,†,†,†,†,†,†,†,†,5,9,18,12,18,26,="0",1,9,1,30,="0",3,44,1.14
MINERAL WELLS EL,Texas,483095003489,48363,Palo Pinto County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-182903-182903105,TX-182903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,745,525,52,577,745,†,†,†,†,†,†,231,253,261,†,†,†,†,†,†,381,364,1,3,335,24,365,="0",17,745,48.06
MINERAL WELLS H S,Texas,483095003487,48363,Palo Pinto County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-182903-182903001,TX-182903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,855,456,72,528,†,855,†,†,†,†,†,†,†,†,†,†,240,214,209,192,430,425,9,1,316,32,478,="0",19,855,68.84
MINERAL WELLS J H,Texas,483095003488,48363,Palo Pinto County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-182903-182903041,TX-182903,NOTVIRTUAL,Yes participating without using any Provision or the CEO,455,285,37,322,455,†,†,†,†,†,†,†,†,†,224,231,†,†,†,†,236,219,="0",1,181,12,247,="0",14,455,35.07
MINERAL WELLS/PALO PINTO COUNTY DAEP,Texas,484170012949,48363,Palo Pinto County,4-Alternative/other school,†,†,†,TX-182905-182905002,TX-182905,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",†
MIRELES EL,Texas,481527008888,48355,Nueces County,1-Regular school,†,2-No,6-Not a Title I school,TX-178904-178904149,TX-178904,NOTVIRTUAL,Yes participating without using any Provision or the CEO,656,263,23,286,560,†,†,96,107,112,105,118,118,†,†,†,†,†,†,†,338,318,1,30,398,19,193,1,14,656,38.33
MIRELES EL,Texas,483312012627,48029,Bexar County,1-Regular school,†,2-No,6-Not a Title I school,TX-015915-015915195,TX-015915,NOTVIRTUAL,Yes participating without using any Provision or the CEO,945,147,57,204,730,†,68,147,156,131,132,164,147,†,†,†,†,†,†,†,485,460,3,61,383,104,340,="0",54,945,55.82
MISS MAY VERNON EL,Texas,483822011545,48397,Rockwall County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-199902-199902106,TX-199902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,633,139,46,185,496,†,24,113,132,110,128,126,†,†,†,†,†,†,†,†,328,305,4,24,169,48,355,="0",33,633,44.52
MISSION ACADEMY,Texas,483873010427,48029,Bexar County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-015907-015907210,TX-015907,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),584,549,1,550,517,†,15,52,49,59,73,65,63,63,77,68,†,†,†,†,316,268,1,6,527,34,15,="0",1,584,44.11
MISSION BEND EL,Texas,481965005715,48157,Fort Bend County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-079907-079907118,TX-079907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,611,364,56,420,451,†,82,78,82,75,98,88,108,†,†,†,†,†,†,†,321,290,3,20,419,127,35,="0",7,611,41.64
MISSION COLLEGIATE H S,Texas,483104012901,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108908-108908004,TX-108908,NOTVIRTUAL,Yes under Provision 2,433,386,="0",386,†,433,†,†,†,†,†,†,†,†,†,†,121,113,98,101,173,260,="0",="0",432,="0",1,="0",="0",433,30.28
MISSION EARLY COLLEGE H S,Texas,484071011217,48141,El Paso County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-071909-071909007,TX-071909,NOTVIRTUAL,Yes participating without using any Provision or the CEO,468,242,97,339,†,468,†,†,†,†,†,†,†,†,†,†,138,105,119,106,157,311,1,8,445,6,7,="0",1,468,23.05
MISSION EARLY LEARNING,TEXAS,483104013565,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,TX-108908-108908121,TX-108908,NOTVIRTUAL,Yes under Provision 2,428,425,="0",425,†,†,428,†,†,†,†,†,†,†,†,†,†,†,†,†,215,213,="0",="0",428,="0",="0",="0",="0",428,10.48
MISSION GLEN EL,Texas,481965006256,48157,Fort Bend County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-079907-079907124,TX-079907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,470,295,43,338,336,†,78,56,55,65,64,76,76,†,†,†,†,†,†,†,242,228,4,78,168,181,23,="0",16,470,33.00
MISSION H S,Texas,483104003496,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108908-108908001,TX-108908,NOTVIRTUAL,Yes under Provision 2,2234,2023,="0",2023,†,2234,†,†,†,†,†,†,†,†,†,†,675,528,572,459,1206,1028,="0",1,2213,2,18,="0",="0",2234,162.41
MISSION J H,Texas,483104003497,48215,Hidalgo County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-108908-108908041,TX-108908,NOTVIRTUAL,Yes under Provision 2,836,603,="0",603,836,†,†,†,†,†,†,†,†,286,280,270,†,†,†,†,416,420,="0",="0",822,2,12,="0",="0",836,55.38
MISSION RIDGE,Texas,484071012963,48141,El Paso County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-071909-071909130,TX-071909,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),820,619,="0",619,595,†,116,109,97,111,124,129,134,†,†,†,†,†,†,†,416,404,1,2,807,2,7,="0",1,820,46.80
MISSION VALLEY EL,Texas,484668006810,48141,El Paso County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-071905-071905135,TX-071905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),465,380,8,388,394,†,2,69,77,72,83,81,81,†,†,†,†,†,†,†,261,204,="0",="0",459,="0",6,="0",="0",465,33.25
MISSION VALLEY EL,Texas,484415005009,48469,Victoria County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-235902-235902117,TX-235902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,251,110,11,121,193,†,16,42,39,29,41,41,43,†,†,†,†,†,†,†,129,122,="0",="0",87,1,157,="0",6,251,17.39
MISSION WEST EL,Texas,481965021247,48157,Fort Bend County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-079907-079907129,TX-079907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,629,405,68,473,450,†,104,75,73,89,97,99,92,†,†,†,†,†,†,†,330,299,17,66,325,175,32,1,13,629,45.01
MISSOURI CITY MIDDLE,Texas,481965001823,48157,Fort Bend County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-079907-079907042,TX-079907,NOTVIRTUAL,Yes participating without using any Provision or the CEO,998,680,69,749,998,="0",†,†,†,†,†,†,†,303,334,361,="0",†,†,†,550,448,6,11,347,613,10,2,9,998,74.60
MISTRAL CENTER FOR EARLY CHILDHOOD,Texas,482364010745,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101912-101912354,TX-101912,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),351,302,23,325,†,†,349,2,†,†,†,†,†,†,†,†,†,†,†,†,178,173,2,26,275,35,11,="0",2,351,20.00
MITCHELL BOULEVARD EL,Texas,481970001884,48439,Tarrant County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-220905-220905144,TX-220905,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),391,340,15,355,276,†,62,53,62,47,66,52,49,†,†,†,†,†,†,†,187,204,="0",5,137,226,11,2,10,391,26.15
MITCHELL EL,Texas,481179008131,48041,Brazos County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-021902-021902119,TX-021902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,380,204,31,235,302,†,2,76,73,81,73,75,†,†,†,†,†,†,†,†,191,189,="0",4,132,106,127,1,10,380,28.10
MITCHELL EL,Texas,482364002537,48201,Harris County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-101912-101912264,TX-101912,NOTVIRTUAL,Yes under Community Eligibility Option (CEO),424,367,19,386,293,†,75,56,62,67,60,55,49,†,†,†,†,†,†,†,211,213,2,8,282,122,8,="0",2,424,29.82
MITCHELL EL,Texas,483510000434,48085,Collin County,1-Regular school,1-Yes,1-Yes,5-Title I schoolwide school,TX-043910-043910126,TX-043910,NOTVIRTUAL,Yes participating without using any Provision or the CEO,798,300,55,355,628,†,31,139,119,136,107,143,123,†,†,†,†,†,†,†,405,393,5,51,189,307,197,="0",49,798,61.75
MITCHELL INT,Texas,481500007403,48339,Montgomery County,1-Regular school,†,2-No,6-Not a Title I school,TX-170902-170902067,TX-170902,NOTVIRTUAL,Yes participating without using any Provision or the CEO,1242,78,26,104,1242,†,†,†,†,†,†,†,616,626,†,†,†,†,†,†,672,570,9,100,242,41,789,4,57,1242,65.00
